candidate_id,rank,score,reasoning
CAND_0046064,1,0.7816,"Hire: Senior NLP Engineer at Salesforce with 8.9 yrs; JD match: 5/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, deep learning, retrieval via retrieval, semantic search, dense retrieval, ranking via ranking, ranker, learning to rank, recommendation systems via recommendation; production systems: 8.8 inferred years in production AI-adjacent roles; missing/weak: startup/product shipping mindset; signals: response 0.78, active 64d ago, notice 30d"
CAND_0041669,2,0.7391,"Hire: Recommendation Systems Engineer at CRED with 8.0 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.9 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence; signals: response 0.77, active 84d ago, notice 60d"
CAND_0081846,3,0.7390,"Hire: Lead AI Engineer at Razorpay with 6.7 yrs; JD match: 5/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, ranker, learning to rank, recommendation systems via recommendation; production systems: 6.6 inferred years in production AI-adjacent roles; missing/weak: startup/product shipping mindset, external validation or GitHub signal; signals: response 0.73, active 57d ago, notice 30d"
CAND_0088025,4,0.7371,"Hire: Staff Machine Learning Engineer at Yellow.ai with 8.6 yrs; JD match: 5/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, hybrid retrieval, rag, ranking via ranking, ranker, learning to rank, recommendation systems via recommendation; production systems: 8.5 inferred years in production AI-adjacent roles; missing/weak: startup/product shipping mindset; signals: response 0.83, active 46d ago, notice 90d"
CAND_0008425,5,0.7302,"Hire: Senior NLP Engineer at Ola with 7.8 yrs; JD match: 5/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.7 inferred years in production AI-adjacent roles; missing/weak: startup/product shipping mindset; signals: response 0.66, active 65d ago, notice 90d"
CAND_0018499,6,0.7206,"Hire: Senior Machine Learning Engineer at Zomato with 7.2 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, dense retrieval, ranking via ranking, ranker, learning to rank, recommendation systems via recommendation; production systems: 7.2 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset; signals: response 0.61, active 47d ago, notice 15d"
CAND_0077337,7,0.7174,"Maybe: Staff Machine Learning Engineer at Paytm with 7.0 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, ranker, learning to rank, recommendation systems via recommendation; production systems: 6.9 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations; signals: response 0.95, active 34d ago, notice 60d"
CAND_0030953,8,0.7170,"Maybe: Search Engineer at Nykaa with 7.8 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 5.7 inferred years in production AI-adjacent roles; missing/weak: external validation or GitHub signal; signals: response 0.63, active 79d ago, notice 45d"
CAND_0064326,9,0.7108,"Maybe: Search Engineer at Sarvam AI with 7.6 yrs; JD match: 5/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.6 inferred years in production AI-adjacent roles; signals: response 0.94, active 39d ago, notice 45d"
CAND_0052682,10,0.7078,"Maybe: NLP Engineer at Aganitha with 6.6 yrs; JD match: 5/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via semantic search, rag, search, ranking via ranking, recommendation systems via recommendation; production systems: 6.5 inferred years in production AI-adjacent roles; missing/weak: startup/product shipping mindset; signals: response 0.88, active 93d ago, notice 30d"
CAND_0071974,11,0.7014,"Maybe: Senior AI Engineer at Netflix with 7.8 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, hybrid retrieval, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.7 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset; signals: response 0.76, active 74d ago, notice 45d"
CAND_0079387,12,0.7009,"Maybe: AI Engineer at Microsoft with 6.9 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 5.2 inferred years in production AI-adjacent roles; signals: response 0.81, active 65d ago, notice 30d"
CAND_0046525,13,0.6994,"Maybe: Senior Machine Learning Engineer at Genpact AI with 6.1 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, dense retrieval, ranking via ranking, ranker, learning to rank, search systems via search, elasticsearch, bm25; production systems: 6.1 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset, external validation or GitHub signal; signals: response 0.88, active 37d ago, notice 60d"
CAND_0055905,14,0.6966,"Maybe: Senior Machine Learning Engineer at Flipkart with 8.1 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, ranker, learning to rank, search systems via search, elasticsearch, opensearch; production systems: 8.0 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, startup/product shipping mindset, preferred location or relocation signal; signals: response 0.87, active 43d ago, notice 30d"
CAND_0044855,15,0.6956,"Maybe: Senior Data Scientist at Flipkart with 6.6 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 4.4 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset, external validation or GitHub signal; signals: response 0.57, active 66d ago, notice 60d"
CAND_0007009,16,0.6924,"Maybe: Recommendation Systems Engineer at Wysa with 7.9 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via learning to rank, learning to rank, relevance, recommendation systems via recommendation; production systems: 5.2 inferred years in production AI-adjacent roles; missing/weak: ranking evaluation metrics, startup/product shipping mindset; signals: response 0.62, active 102d ago, notice 30d"
CAND_0018722,17,0.6896,"Maybe: Recommendation Systems Engineer at Saarthi.ai with 6.6 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, bm25, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 4.2 inferred years in production AI-adjacent roles; missing/weak: ranking evaluation metrics, startup/product shipping mindset; signals: response 0.79, active 66d ago, notice 90d"
CAND_0094759,18,0.6893,"Maybe: Lead AI Engineer at Meta with 8.6 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, nlp, retrieval via retrieval, semantic search, dense retrieval, ranking via ranking, ranker, learning to rank, search systems via search, bm25; production systems: 8.4 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset; signals: response 0.11, active 172d ago, notice 30d"
CAND_0005649,19,0.6850,"Maybe: Senior Data Scientist at Sarvam AI with 7.4 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, relevance, recommendation systems via recommendation; production systems: 5.8 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence; signals: response 0.57, active 76d ago, notice 90d"
CAND_0007411,20,0.6850,"Maybe: Senior Machine Learning Engineer at Amazon with 8.0 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, hybrid retrieval, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.9 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset, responsive/recent Redrob signals; signals: response 0.12, active 209d ago, notice 15d"
